food,brand,categories,tyrosine_mg,phenylalanine_mg,fiber_g,protein_g,carbs_g,fat_g,polyphenol_flag,fermented_flag,dopamine_support_score,predicted_score
Activitas fresa,Eroski,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Yoghurt Deslactosado para beber sabor Durazno,Alpura,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, en:Fermented dairy desserts with fruits, Bebidas de leche fermentada, Yogures, Yogures de frutas, Yogures para beber, Bebidas azucaradas",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Gastro Protect Fresa,Nestle,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures de sabores, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
yogurt bebible sabor lúcuma,Gloria,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber, Productos fermentados de la lechee",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Bio 4 Balance,Lala,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures de sabores, Yogures para beber, Bebidas azucaradas, Yog",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Yogur líquido sabor piña,,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
L Casei fresa 0%,Hacendado,"Bebidas y preparaciones de bebidas,Bebidas,Lácteos,Comidas fermentadas,Productos fermentados de la leche,Postres,Postres lácteos,Bebida lácteas,en:Fermented dairy desserts,Bebidas fermentadas,Bebidas de leche fermentada,Yogures,Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Danone Actimel® ERDBEERE 8X100G,"Actimel, Danone","Getränke und Getränkezubereitungen, Getränke, Milchprodukte, Fermentierte Lebensmittel, Fermentierte Milch, Desserts, Milchnachspeisen, Milchgetränke, en:Fermented dairy desserts, Fermentierte Getränke, Fermentierte Milchgetränke, Joghurt, Trinkjoghurt, en:Flavoured yogurt drinks, en:Fruit flavoured yogurt drinks, en:Strawberry yogurt drinks",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
alpura Yoghurt deslactosado,Alpura,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, en:Fermented dairy desserts with fruits, Bebidas de leche fermentada, Yogures, Yogures de frutas, Yogures para beber, Bebidas azucaradas",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Actimel,Danone,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Organic Kombucha Cosmic Cranberry,,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Synergy Cosmic Cranberry Raw Kombucha,GT's,"Plant-based foods and beverages,Beverages,Fermented foods,Plant-based beverages,Fruit-based beverages,Fermented drinks,Unsweetened beverages,Tea-based beverages,Kombuchas",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Protein Milkshake Tropical,Arla,"Bebidas,Lácteos,Comidas fermentadas,Productos fermentados de la leche,Postres,Postres lácteos,Bebida lácteas,en:Fermented dairy desserts,Bebidas fermentadas,Yogures,Bebidas de leche fermentada,en:drinkable-yogurts",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
YoPRO Drinks Limon Menta,"Danone, YoPRO","Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
La Lechera Frutíssimo yogur líquido con fresa y piña,Nestlé,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Bon yourt fresa,Eroski,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
